,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
86,Cyprus,3,50-79,345000.0,510.0,168000.0,347.0,167653.0,177000.0,163.0,176837.0,2.2428790534618757,1.8622111597379778,2.7013619922489647
87,Cyprus,4,80+,40000.0,501.0,16000.0,269.0,15731.0,24000.0,232.0,23768.0,1.7392241379310345,1.4607791176753668,2.070744690529032
88,Czech Republic,1,0-19,2175000.0,12.0,1116000.0,7.0,1115993.0,1059000.0,5.0,1058995.0,1.328494623655914,0.42163765704573575,4.185816744758231
89,Czech Republic,2,20-49,4382000.0,716.0,2247000.0,444.0,2246556.0,2135000.0,272.0,2134728.0,1.550989554700385,1.3337417035605705,1.8036240393231822
90,Czech Republic,3,50-79,3708000.0,22263.0,1756000.0,14194.0,1741806.0,1952000.0,8069.0,1943931.0,1.9554215054607316,1.9028548569456922,2.0094403154614553
91,Czech Republic,4,80+,445000.0,18276.0,153000.0,8650.0,144350.0,292000.0,9626.0,282374.0,1.7149903108275655,1.6670173699285444,1.764343803063373
92,Denmark,1,0-19,1282000.0,7.0,657000.0,5.0,656995.0,625000.0,2.0,624998.0,2.378234398782344,0.4613992162303477,12.258362512536069
93,Denmark,2,20-49,2186000.0,122.0,1105000.0,75.0,1104925.0,1081000.0,47.0,1080953.0,1.5610859728506787,1.0841084818331677,2.247920254724265
94,Denmark,3,50-79,2050000.0,2399.0,1008000.0,1520.0,1006480.0,1042000.0,879.0,1041121.0,1.7875652346642108,1.6451749154779878,1.9422794732143904
95,Denmark,4,80+,273000.0,3889.0,108000.0,1909.0,106091.0,165000.0,1980.0,163020.0,1.4729938271604937,1.3838885599433255,1.5678363689499497
96,Dominican Republic,1,0-19,3935000.0,47.0,2007000.0,20.0,2006980.0,1928000.0,27.0,1927973.0,0.7115835317130783,0.3991176377503288,1.2686763868902469
97,Dominican Republic,2,20-49,4693000.0,619.0,2348000.0,375.0,2347625.0,2345000.0,244.0,2344756.0,1.534921593543162,1.3064060262854702,1.8034089333037566
98,Dominican Republic,3,50-79,2038000.0,2580.0,984000.0,1676.0,982324.0,1054000.0,904.0,1053096.0,1.9858712857040073,1.8316620338023053,2.1530635513567327
99,Dominican Republic,4,80+,182000.0,1035.0,80000.0,574.0,79426.0,102000.0,461.0,101539.0,1.5875271149674621,1.4048737856530689,1.7939279432033497
100,Ecuador,1,0-19,6394000.0,121.0,3264000.0,59.0,3263941.0,3130000.0,62.0,3129938.0,0.9125454617330805,0.6389128501001512,1.303369026932401
101,Ecuador,2,20-49,7717000.0,2504.0,3868000.0,1686.0,3866314.0,3849000.0,818.0,3848182.0,2.0510002452573053,1.8866898363212417,2.2296203250067648
102,Ecuador,3,50-79,3248000.0,17489.0,1570000.0,11346.0,1558654.0,1678000.0,6143.0,1671857.0,1.9740337248859714,1.913832687406369,2.0361284309905634
103,Ecuador,4,80+,283000.0,5554.0,120000.0,3376.0,116624.0,163000.0,2178.0,160822.0,2.1054790327517603,1.996096770637722,2.2208552323547925
104,England,1,0-19,13329000.0,166.0,6839000.0,92.0,6838908.0,6490000.0,74.0,6489926.0,1.179799480720668,0.8687418782227574,1.6022328951797677
105,England,2,20-49,21920000.0,4206.0,11018000.0,2503.0,11015497.0,10902000.0,1703.0,10900297.0,1.4542852900613068,1.3674566574373945,1.5466272319388132
