,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI,Significant?
119,Dominican Republic,4,80+,182000,1035,80000,574,79426,102000,461,101539,1.59,1.40,1.79,*
120,Ecuador,1,0-19,6394000,121,3264000,59,3263941,3130000,62,3129938,0.91,0.64,1.30,ns
121,Ecuador,2,20-49,7717000,2504,3868000,1686,3866314,3849000,818,3848182,2.05,1.89,2.23,*
122,Ecuador,3,50-79,3248000,17489,1570000,11346,1558654,1678000,6143,1671857,1.97,1.91,2.04,*
123,Ecuador,4,80+,283000,5554,120000,3376,116624,163000,2178,160822,2.11,2.00,2.22,*
124,England,1,0-19,13329000,166,6839000,92,6838908,6490000,74,6489926,1.18,0.87,1.60,ns
125,England,2,20-49,21920000,4206,11018000,2503,11015497,10902000,1703,10900297,1.45,1.37,1.55,*
126,England,3,50-79,18442000,61048,8958000,37775,8920225,9484000,23273,9460727,1.72,1.69,1.75,*
127,England,4,80+,2856000,90647,1166000,45869,1120131,1690000,44778,1645222,1.48,1.47,1.50,*
128,Equatorial Guinea,1,0-19,1207000,53,675000,36,674964,532000,17,531983,1.67,0.94,2.97,ns
129,Equatorial Guinea,2,20-49,0,0,0,0,0,0,0,0,,,,ns
130,Equatorial Guinea,3,50-79,0,0,0,0,0,0,0,0,,,,ns
131,Equatorial Guinea,4,80+,3000,1,1000,0,1000,2000,1,1999,0.00,N/A,N/A,*
132,Estonia,1,0-19,280000,0,145000,0,145000,135000,0,135000,,,,ns
133,Estonia,2,20-49,523000,51,272000,34,271966,251000,17,250983,1.85,1.03,3.30,*
134,Estonia,3,50-79,443000,1022,192000,613,191387,251000,409,250591,1.96,1.73,2.22,*
135,Estonia,4,80+,79000,1319,21000,539,20461,58000,780,57220,1.91,1.71,2.13,*
136,Eswatini,1,0-19,562000,8,284000,5,283995,278000,3,277997,1.63,0.39,6.83,ns
137,Eswatini,2,20-49,470000,108,225000,57,224943,245000,51,244949,1.22,0.83,1.78,ns
138,Eswatini,3,50-79,109000,377,53000,196,52804,56000,181,55819,1.14,0.94,1.40,ns
139,Eswatini,4,80+,6000,54,1000,22,978,5000,32,4968,3.44,2.01,5.89,*
140,Finland,1,0-19,1176000,9,602000,5,601995,574000,4,573996,1.19,0.32,4.44,ns
141,Finland,2,20-49,2039000,113,1046000,78,1045922,993000,35,992965,2.12,1.42,3.15,*
142,Finland,3,50-79,2014000,1289,972000,834,971166,1042000,455,1041545,1.96,1.75,2.20,*
143,Finland,4,80+,311000,1976,113000,821,112179,198000,1155,196845,1.25,1.14,1.36,*
144,France,1,0-19,15412000,53,7877000,27,7876973,7535000,26,7534974,0.99,0.58,1.70,ns
145,France,2,20-49,23708000,1869,11731000,1105,11729895,11977000,764,11976236,1.48,1.35,1.62,*
146,France,3,50-79,22127000,43792,10524000,29121,10494879,11603000,14671,11588329,2.19,2.15,2.23,*
147,France,4,80+,4027000,67882,1458000,35268,1422732,2569000,32614,2536386,1.91,1.88,1.93,*
148,Germany,1,0-19,30630000,462,15909000,264,15908736,14721000,198,14720802,1.23,1.03,1.48,*
149,Germany,2,20-49,0,0,0,0,0,0,0,0,,,,ns
150,Germany,3,50-79,18116000,42408,8569000,27528,8541472,9547000,14880,9532120,2.06,2.02,2.10,*
151,Germany,4,80+,5876000,89758,2258000,41705,2216295,3618000,48053,3569947,1.39,1.37,1.41,*
152,Greece,1,0-19,4344000,225,2238000,162,2237838,2106000,63,2105937,2.42,1.81,3.24,*
153,Greece,2,20-49,0,0,0,0,0,0,0,0,,,,ns
154,Greece,3,50-79,0,0,0,0,0,0,0,0,,,,ns
155,Greece,4,80+,0,0,0,0,0,0,0,0,,,,ns
156,Guatemala,1,0-19,7919000,349,4043000,182,4042818,3876000,167,3875833,1.04,0.85,1.29,ns
157,Guatemala,2,20-49,7647000,4175,3740000,2685,3737315,3907000,1490,3905510,1.88,1.77,2.01,*
158,Guatemala,3,50-79,2155000,11514,960000,7440,952560,1195000,4074,1190926,2.27,2.19,2.36,*
159,Guatemala,4,80+,0,0,0,0,0,0,0,0,,,,ns
160,Guinea-Bissau,1,0-19,1275000,12,639000,5,638995,636000,7,635993,0.71,0.23,2.24,ns
161,Guinea-Bissau,2,20-49,504000,44,243000,25,242975,261000,19,260981,1.41,0.78,2.57,ns
162,Guinea-Bissau,3,50-79,83000,34,37000,24,36976,46000,10,45990,2.98,1.43,6.24,*
163,Guinea-Bissau,4,80+,0,0,0,0,0,0,0,0,,,,ns
164,Haiti,1,0-19,4839000,15,2454000,10,2453990,2385000,5,2384995,1.94,0.66,5.69,ns
165,Haiti,2,20-49,4795000,87,2346000,44,2345956,2449000,43,2448957,1.07,0.70,1.63,ns
166,Haiti,3,50-79,1533000,208,719000,123,718877,814000,85,813915,1.64,1.24,2.16,*
167,Haiti,4,80+,96000,51,39000,29,38971,57000,22,56978,1.93,1.11,3.35,*
168,Hong Kong,1,0-19,1217000,0,638000,0,638000,579000,0,579000,,,,ns
169,Hong Kong,2,20-49,3118000,6,1334000,4,1333996,1784000,2,1783998,2.67,0.49,14.60,ns
170,Hong Kong,3,50-79,2782000,96,1313000,65,1312935,1469000,31,1468969,2.35,1.53,3.60,*
171,Hong Kong,4,80+,379000,105,154000,54,153946,225000,51,224949,1.55,1.06,2.27,*
172,Hungary,1,0-19,1878000,28,964000,13,963987,914000,15,913985,0.82,0.39,1.73,ns
173,Hungary,2,20-49,3997000,1877,2026000,1202,2024798,1971000,675,1970325,1.73,1.58,1.90,*
174,Hungary,3,50-79,3356000,24690,1485000,14239,1470761,1871000,10451,1860549,1.72,1.67,1.76,*
175,Hungary,4,80+,432000,14930,125000,5482,119518,307000,9448,297552,1.43,1.38,1.47,*
176,Iceland,1,0-19,87000,0,44000,0,44000,43000,0,43000,,,,ns
177,Iceland,2,20-49,137000,2,70000,2,69998,67000,0,67000,inf,,inf,ns
178,Iceland,3,50-79,103000,31,51000,22,50978,52000,9,51991,2.49,1.15,5.41,*
179,Iceland,4,80+,12000,55,5000,29,4971,7000,26,6974,1.56,0.92,2.65,ns
180,Indonesia,1,0-19,94260000,438,48322000,220,48321780,45938000,218,45937782,0.96,0.80,1.16,ns
181,Indonesia,2,20-49,122585000,1452,61874000,712,61873288,60711000,740,60710260,0.94,0.85,1.05,ns
182,Indonesia,3,50-79,54259000,4912,26621000,2533,26618467,27638000,2379,27635621,1.11,1.05,1.17,*
183,Indonesia,4,80+,2419000,755,900000,400,899600,1519000,355,1518645,1.90,1.65,2.19,*
184,Iraq,1,0-19,19320000,71,9925000,34,9924966,9395000,37,9394963,0.87,0.55,1.39,ns
185,Iraq,2,20-49,16505000,1484,8394000,976,8393024,8111000,508,8110492,1.86,1.67,2.07,*
186,Iraq,3,50-79,4207000,5577,1964000,3523,1960477,2243000,2054,2240946,1.96,1.86,2.07,*
187,Iraq,4,80+,188000,864,74000,531,73469,114000,333,113667,2.46,2.14,2.82,*
188,Israel,1,0-19,3077000,27,1579000,14,1578986,1498000,13,1497987,1.02,0.48,2.17,ns
189,Israel,2,20-49,3359000,333,1693000,197,1692803,1666000,136,1665864,1.43,1.15,1.77,*
190,Israel,3,50-79,1959000,4833,933000,3034,929966,1026000,1799,1024201,1.85,1.75,1.97,*
191,Israel,4,80+,262000,5683,104000,2782,101218,158000,2901,155099,1.46,1.38,1.53,*
192,Italy,1,0-19,10729000,57,5527000,27,5526973,5202000,30,5201970,0.85,0.50,1.42,ns
193,Italy,2,20-49,22124000,2109,11172000,1406,11170594,10952000,703,10951297,1.96,1.79,2.15,*
194,Italy,3,50-79,23081000,63461,11047000,43175,11003825,12034000,20286,12013714,2.32,2.28,2.36,*
