country,date,age_group,age_begin,age_end,deathsF,deathsM,populationin1000sF,Num female infection,populationin1000sM,Num male infection,Total infection,Total Death,% female infection,% male infection,% female death,% male death,Country begin,Bin 0-19,Bin 20-49,Bin 50-79,Bin 80+,Total
Bahamas,2/21/2022,75-79,75,79,36,30,3,3000,2,2000,5000,66,60,40,54.55,45.45,,0,0,1,0,0
Bahamas,2/21/2022,80,80,999,69,56,3,3000,2,2000,5000,125,60,40,55.2,44.8,,0,0,0,1,0
Bahamas,,,,,457,462,201,201000,192,192000,393000,911,51.15,48.85,50.16,50.71,,0,0,0,0,1
Bahrain,3/7/2022,0-4,0,4,0,1,53,53000,55,55000,108000,1,49.07,50.93,0,100,,1,0,0,0,0
Bahrain,3/7/2022,9-May,5,9,0,0,52,52000,59,59000,111000,0,46.85,53.15,0,0,,1,0,0,0,0
Bahrain,3/7/2022,14-Oct,10,14,1,0,47,47000,46,46000,93000,1,50.54,49.46,100,0,,1,0,0,0,0
Bahrain,3/7/2022,15-19,15,19,1,0,40,40000,49,49000,89000,1,44.94,55.06,100,0,,1,0,0,0,0
Bahrain,3/7/2022,20-29,20,29,5,2,107,107000,199,199000,306000,7,34.97,65.03,71.43,28.57,,0,1,0,0,0
Bahrain,3/7/2022,30-39,30,39,24,68,127,127000,380,380000,507000,92,25.05,74.95,26.09,73.91,,0,1,0,0,0
Bahrain,3/7/2022,40-49,40,49,59,139,82,82000,175,175000,257000,198,31.91,68.09,29.8,70.2,,0,1,0,0,0
Bahrain,3/7/2022,50-59,50,59,103,206,54,54000,86,86000,140000,309,38.57,61.43,33.33,66.67,,0,0,1,0,0
Bahrain,3/7/2022,60-64,60,64,80,116,17,17000,28,28000,45000,196,37.78,62.22,40.82,59.18,,0,0,1,0,0
Bahrain,3/7/2022,65-69,65,69,82,118,9,9000,13,13000,22000,200,40.91,59.09,41,59,,0,0,1,0,0
Bahrain,3/7/2022,70-74,70,74,44,87,5,5000,6,6000,11000,131,45.45,54.55,33.59,66.41,,0,0,1,0,0
Bahrain,3/7/2022,75-79,75,79,40,58,3,3000,3,3000,6000,98,50,50,40.82,59.18,,0,0,1,0,0
Bahrain,3/7/2022,80,80,999,86,125,3,3000,3,3000,6000,211,50,50,40.76,59.24,,0,0,0,1,0
Bahrain,,,,,525,920,599,599000,1102,1102000,2112000,2356,28.36,52.18,22.28,39.05,,0,0,0,0,1
Bangladesh,7/26/2021,0-4,0,4,0,999,7008,7008000,7366,7366000,14374000,999,48.75,51.25,0,100,,1,0,0,0,0
Bangladesh,7/26/2021,14-May,5,14,999,999,14549,14549000,15298,15298000,29847000,1998,48.75,51.25,50,50,,1,0,0,0,0
Bangladesh,7/26/2021,15-24,15,24,3996,3996,15107,15107000,15708,15708000,30815000,7992,49.02,50.98,50,50,,1,0,0,0,0
Bangladesh,7/26/2021,25-34,25,34,12986,12986,14252,14252000,13911,13911000,28163000,25972,50.61,49.39,50,50,,0,1,0,0,0
Bangladesh,7/26/2021,35-44,35,44,23974,37959,12149,12149000,11583,11583000,23732000,61933,51.19,48.81,38.71,61.29,,0,1,0,0,0
Bangladesh,7/26/2021,45-54,45,54,53942,86906,8748,8748000,8818,8818000,17566000,140848,49.8,50.2,38.3,61.7,,0,0,0,0,0
Bangladesh,7/26/2021,55-64,55,64,81912,175810,6100,6100000,6304,6304000,12404000,257722,49.18,50.82,31.78,68.22,,0,0,1,0,0
Bangladesh,7/26/2021,65-74,65,74,76917,228753,2457,2457000,2648,2648000,5105000,305670,48.13,51.87,25.16,74.84,,0,0,1,0,0
Bangladesh,7/26/2021,75-84,75,84,34962,110880,1417,1417000,1314,1314000,2731000,145842,51.89,48.11,23.97,76.03,,0,0,0,0,0
Bangladesh,7/26/2021,85+,85,999,13985,35961,393,393000,301,301000,694000,49946,56.63,43.37,28,72,,0,0,0,1,0
Bangladesh,,,,,303673,695249,82180,82180000,83251,83251000,167773000,1001718,48.98,49.62,30.32,69.41,,0,0,0,0,1
Barbados,7/12/2021,0-4,0,4,0,0,7,7000,8,8000,15000,0,46.67,53.33,0,0,,1,0,0,0,0
Barbados,7/12/2021,9-May,5,9,0,0,8,8000,8,8000,16000,0,50,50,0,0,,1,0,0,0,0
Barbados,7/12/2021,14-Oct,10,14,0,0,9,9000,9,9000,18000,0,50,50,0,0,,1,0,0,0,0
Barbados,7/12/2021,15-19,15,19,0,0,9,9000,10,10000,19000,0,47.37,52.63,0,0,,1,0,0,0,0
Barbados,7/12/2021,20-24,20,24,0,0,9,9000,10,10000,19000,0,47.37,52.63,0,0,,0,1,0,0,0
Barbados,7/12/2021,25-29,25,29,0,0,9,9000,9,9000,18000,0,50,50,0,0,,0,1,0,0,0
Barbados,7/12/2021,30-34,30,34,0,0,9,9000,9,9000,18000,0,50,50,0,0,,0,1,0,0,0
Barbados,7/12/2021,35-39,35,39,0,0,10,10000,9,9000,19000,0,52.63,47.37,0,0,,0,1,0,0,0
