,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
52,Finland,1,0-30,1849000,23,947000,15.0,946985.0,902000,8.0,901992.0,1.7859028511087647,0.7571800528460962,4.212272869061831
53,Finland,2,30+,3691000,3364,1786000,1723.0,1784277.0,1905000,1641.0,1903359.0,1.119928306900512,1.0467490368581898,1.1982236127597867
54,France,1,0-30,22783000,154,11568000,58.0,11567942.0,11215000,96.0,11214904.0,0.5857303913093591,0.42279978777897054,0.8114481161536649
55,France,2,30+,42491000,113442,20022000,65463.0,19956537.0,22469000,47979.0,22421021.0,1.5311614955056974,1.5132546174925723,1.549280271950501
56,Guatemala,1,0-30,11332000,927,5763000,519.0,5762481.0,5569000,408.0,5568592.0,1.2292374784374969,1.0797359610712443,1.3994391526019327
57,Guatemala,2,30+,6389000,15111,2980000,9788.0,2970212.0,3409000,5323.0,3403677.0,2.103527682199698,2.034545954899568,2.174848250109376
58,Haiti,1,0-30,6869000,33,3459000,20.0,3458980.0,3410000,13.0,3409987.0,1.5166677785931906,0.7544566046801037,3.0489243998309785
59,Haiti,2,30+,4394000,328,2099000,186.0,2098814.0,2295000,142.0,2294858.0,1.4321709197538735,1.1511707494301402,1.7817630828476236
60,Hong Kong,2,30+,5412000,207,2385000,123.0,2384877.0,3027000,84.0,3026916.0,1.8584456424079066,1.4082086677717514,2.452633821129659
61,Hungary,1,0-30,3030000,114,1554000,38.0,1553962.0,1476000,76.0,1475924.0,0.4749034749034749,0.3217277128928495,0.7010067875331231
62,Hungary,2,30+,6633000,41411,3046000,20898.0,3025102.0,3587000,20513.0,3566487.0,1.1997120542266824,1.1768933093216676,1.2229732310113892
63,Iceland,2,30+,205000,87,102000,52.0,101948.0,103000,35.0,102965.0,1.500280112044818,0.977468232586544,2.3027248759185883
64,Indonesia,1,0-30,137832000,698,70588000,338.0,70587662.0,67244000,360.0,67243640.0,0.8944104443311108,0.7710222356766597,1.0375447113097982
