,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
44,Canada,1,0-19,7942000,51,4064000,23.0,4063977.0,3878000,28.0,3877972.0,0.7838336614173227,0.45152540908110544,1.3607101536572108
45,Canada,2,20-49,15223000,1132,7650000,710.0,7649290.0,7573000,422.0,7572578.0,1.665529845429483,1.4764983931577569,1.8787624008744654
46,Canada,3,50-79,12915000,15304,6356000,9451.0,6346549.0,6559000,5853.0,6553147.0,1.6662991831441536,1.6128816208010222,1.7214858994846285
47,Chile,1,0-19,4922000,132,2504000,61.0,2503939.0,2418000,71.0,2417929.0,0.8296472123475678,0.5892376608860984,1.168144099820435
48,Chile,2,20-49,8520000,3116,4297000,1983.0,4295017.0,4223000,1133.0,4221867.0,1.7200795480990965,1.599019060223754,1.8503054312403122
49,Chile,3,50-79,5136000,27283,2428000,16560.0,2411440.0,2708000,10723.0,2697277.0,1.7224396096336978,1.6812014279434901,1.7646893224830213
50,Chile,4,80+,538000,17721,195000,8307.0,186693.0,343000,9414.0,333586.0,1.5521351179094967,1.50780534419909,1.5977681956868217
51,Colombia,1,0-19,15535000,408,7939000,228.0,7938772.0,7596000,180.0,7595820.0,1.2119410505101398,0.9968048354434624,1.4735092143269701
52,Colombia,2,20-49,23108000,16407,11434000,10888.0,11423112.0,11674000,5519.0,11668481.0,2.0142307381344833,1.9500615682989875,2.0805114732786416
53,Colombia,3,50-79,11296000,86686,5224000,53342.0,5170658.0,6072000,33344.0,6038656.0,1.8594315362728642,1.8342537383104611,1.8849549360988453
54,Colombia,4,80+,945000,36393,388000,20556.0,367444.0,557000,15837.0,541163.0,1.8633273640157557,1.825857635573077,1.901566035514133
55,Costa Rica,1,0-19,1426000,48,729000,29.0,728971.0,697000,19.0,696981.0,1.45931701682189,0.8183060580411089,2.6024567882142655
56,Costa Rica,2,20-49,2301000,1127,1160000,715.0,1159285.0,1141000,412.0,1140588.0,1.7070116337462335,1.512161447768405,1.9269693206669172
57,Costa Rica,3,50-79,1258000,4798,610000,2926.0,607074.0,648000,1872.0,646128.0,1.6604035308953342,1.566990722543202,1.7593849444974514
58,Costa Rica,4,80+,113000,2095,48000,1222.0,46778.0,65000,873.0,64127.0,1.8955231004200077,1.7392298570847233,2.06586139812965
59,Croatia,1,0-19,794000,5,408000,2.0,407998.0,386000,3.0,385997.0,0.630718954248366,0.10538694396738417,3.7747218419320343
60,Croatia,2,20-49,1568000,75,797000,43.0,796957.0,771000,32.0,770968.0,1.2999137390213298,0.8226023275478548,2.054183014450699
61,Croatia,3,50-79,1508000,2398,701000,1507.0,699493.0,807000,891.0,806109.0,1.9471125904792095,1.79244366544204,2.115127807415742
62,Croatia,4,80+,234000,2371,73000,1061.0,71939.0,161000,1310.0,159690.0,1.786269998954303,1.6481464157743746,1.9359690854074032
63,Cuba,1,0-19,2461000,4,1272000,2.0,1271998.0,1189000,2.0,1188998.0,0.934748427672956,0.13166739744539332,6.636074229381173
64,Cuba,2,20-49,4544000,133,2333000,68.0,2332932.0,2211000,65.0,2210935.0,0.9914471298097531,0.7056906636638304,1.3929154257257585
65,Cuba,3,50-79,3900000,1185,1846000,704.0,1845296.0,2054000,481.0,2053519.0,1.628532107405347,1.450270281235533,1.8287052138934232
66,Cuba,4,80+,424000,584,176000,316.0,175684.0,248000,268.0,247732.0,1.6614654002713705,1.4120650552580176,1.9549150841315188
67,Curaçao,2,20-49,58000,14,27000,8.0,26992.0,31000,6.0,30994.0,1.5308641975308641,0.5312286122043008,4.411556790131124
68,Curaçao,3,50-79,57000,145,25000,84.0,24916.0,32000,61.0,31939.0,1.7626229508196722,1.268082324139221,2.450029944913224
69,Curaçao,4,80+,6000,104,2000,52.0,1948.0,4000,52.0,3948.0,2.0,1.3668731866293033,2.926387055600939
70,Cyprus,1,0-19,273000,4,141000,2.0,140998.0,132000,2.0,131998.0,0.9361702127659575,0.13186935344567546,6.646082993280948
71,Cyprus,2,20-49,546000,37,278000,27.0,277973.0,268000,10.0,267990.0,2.602877697841727,1.2599526850816913,5.377164071429065
72,Cyprus,3,50-79,345000,510,168000,347.0,167653.0,177000,163.0,176837.0,2.2428790534618757,1.8622111597379778,2.7013619922489647
73,Cyprus,4,80+,40000,501,16000,269.0,15731.0,24000,232.0,23768.0,1.7392241379310345,1.4607791176753668,2.070744690529032
74,Czech Republic,1,0-19,2175000,12,1116000,7.0,1115993.0,1059000,5.0,1058995.0,1.328494623655914,0.42163765704573575,4.185816744758231
